Tur,DogruMu,TepkiSuresi,HedefRenk,TiklananRenk
1,1,1.5834064483642578,mavi,mavi
2,1,1.0460140705108643,yesil,yesil
3,1,1.16060471534729,yesil,yesil
4,1,1.101468801498413,pembe,pembe
5,1,2.0350327491760254,yesil,yesil
6,1,1.5956878662109375,sari,sari
7,1,1.3042042255401611,pembe,pembe
8,1,2.1083431243896484,pembe,pembe
9,1,1.2315711975097656,mavi,mavi
10,1,1.0454432964324951,sari,sari
