Tur,DogruMu,TepkiSuresi,HedefRenk,TiklananRenk
1,1,2.7173969745635986,yesil,yesil
2,1,2.754847526550293,pembe,pembe
3,1,1.7578651905059814,mavi,mavi
4,1,2.594099283218384,sari,sari
5,1,2.574687957763672,yesil,yesil
6,1,1.787015438079834,yesil,yesil
7,1,1.8355646133422852,pembe,pembe
8,1,1.6200318336486816,mavi,mavi
9,0,1.261974573135376,yesil,pembe
10,1,1.9822170734405518,yesil,yesil
