Tur,DogruMu,TepkiSuresi,HedefRenk,TiklananRenk
1,1,2.403409242630005,sari,sari
2,1,1.4781537055969238,sari,sari
3,1,1.2784545421600342,mavi,mavi
4,1,1.4955339431762695,yesil,yesil
5,1,1.2679448127746582,sari,sari
6,1,1.5913357734680176,pembe,pembe
7,1,1.4239225387573242,mavi,mavi
8,1,0.9958326816558838,pembe,pembe
9,1,1.2310223579406738,yesil,yesil
10,1,1.2330398559570312,yesil,yesil
